Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Name
2018-03-27,68.0,68.26,66.09,66.48,1148207.0,0.0,1.0,68.0,68.26,66.09,66.48,1148207.0,HP
2018-03-26,67.34,67.96,66.68,67.72,1088483.0,0.0,1.0,67.34,67.96,66.68,67.72,1088483.0,HP
2018-03-23,66.97,68.17,66.33,66.46,1399187.0,0.0,1.0,66.97,68.17,66.33,66.46,1399187.0,HP
2018-03-22,67.71,68.185,66.29,66.35,1672687.0,0.0,1.0,67.71,68.185,66.29,66.35,1672687.0,HP
2018-03-21,65.89,69.19,65.49,68.88,2621098.0,0.0,1.0,65.89,69.19,65.49,68.88,2621098.0,HP
2018-03-20,65.1,65.96,64.97,65.31,1203014.0,0.0,1.0,65.1,65.96,64.97,65.31,1203014.0,HP
2018-03-19,64.58,64.89,63.82,64.68,1463450.0,0.0,1.0,64.58,64.89,63.82,64.68,1463450.0,HP
2018-03-16,62.65,64.67,62.38,64.56,4450022.0,0.0,1.0,62.65,64.67,62.38,64.56,4450022.0,HP
2018-03-15,64.69,65.05,62.33,62.64,1640680.0,0.0,1.0,64.69,65.05,62.33,62.64,1640680.0,HP
2018-03-14,65.05,65.18,64.23,64.61,1091875.0,0.0,1.0,65.05,65.18,64.23,64.61,1091875.0,HP
2018-03-13,66.11,66.29,64.26,64.63,1583143.0,0.0,1.0,66.11,66.29,64.26,64.63,1583143.0,HP
2018-03-12,66.59,67.0,65.42,65.81,1367813.0,0.0,1.0,66.59,67.0,65.42,65.81,1367813.0,HP
2018-03-09,66.49,68.06,66.0154,66.89,2017273.0,0.0,1.0,66.49,68.06,66.0154,66.89,2017273.0,HP
2018-03-08,65.25,65.31,63.82,65.02,1424955.0,0.0,1.0,65.25,65.31,63.82,65.02,1424955.0,HP
2018-03-07,65.69,66.59,64.37,65.12,1755567.0,0.0,1.0,65.69,66.59,64.37,65.12,1755567.0,HP
2018-03-06,67.07,67.26,65.22,66.56,1196717.0,0.0,1.0,67.07,67.26,65.22,66.56,1196717.0,HP
2018-03-05,66.08,67.3,65.505,66.61,1638916.0,0.0,1.0,66.08,67.3,65.505,66.61,1638916.0,HP
2018-03-02,64.5,67.04,63.4442,66.79,1213026.0,0.0,1.0,64.5,67.04,63.4442,66.79,1213026.0,HP
2018-03-01,64.43,65.81,64.15,65.18,1186183.0,0.0,1.0,64.43,65.81,64.15,65.18,1186183.0,HP
2018-02-28,66.85,66.99,64.54,64.55,1311836.0,0.0,1.0,66.85,66.99,64.54,64.55,1311836.0,HP
2018-02-27,67.27,68.35,66.39,66.53,1712953.0,0.0,1.0,67.27,68.35,66.39,66.53,1712953.0,HP
2018-02-26,67.35,67.59,66.29,67.43,693741.0,0.0,1.0,67.35,67.59,66.29,67.43,693741.0,HP
2018-02-23,65.7,67.05,65.49,66.86,969140.0,0.0,1.0,65.7,67.05,65.49,66.86,969140.0,HP
2018-02-22,65.24,67.085,65.175,65.39,976280.0,0.0,1.0,65.24,67.085,65.175,65.39,976280.0,HP
2018-02-21,64.22,65.8,64.03,64.46,1152225.0,0.0,1.0,64.22,65.8,64.03,64.46,1152225.0,HP
2018-02-20,65.61,66.25,64.2,64.51,937025.0,0.0,1.0,65.61,66.25,64.2,64.51,937025.0,HP
2018-02-16,65.28,66.3,65.14,65.46,1214418.0,0.0,1.0,65.28,66.3,65.14,65.46,1214418.0,HP
2018-02-15,65.87,66.12,64.055,65.73,1897139.0,0.0,1.0,65.87,66.12,64.055,65.73,1897139.0,HP
2018-02-14,62.88,66.89,62.28,66.12,2120644.0,0.0,1.0,62.88,66.89,62.28,66.12,2120644.0,HP
2018-02-13,64.13,64.54,63.42,63.73,2738857.0,0.0,1.0,64.13,64.54,63.42,63.73,2738857.0,HP
2018-02-12,64.55,65.65,63.8,64.64,2825084.0,0.0,1.0,64.55,65.65,63.8,64.64,2825084.0,HP
2018-02-09,64.85,65.19,61.3,63.62,3045233.0,0.0,1.0,64.85,65.19,61.3,63.62,3045233.0,HP
2018-02-08,67.53,68.0,64.86,64.87,2753721.0,0.0,1.0,67.53,68.0,64.86,64.87,2753721.0,HP
2018-02-07,68.71,70.28,67.03,67.47,2174750.0,0.0,1.0,68.71,70.28,67.03,67.47,2174750.0,HP
2018-02-06,66.64,69.21,66.29,68.69,2664053.0,0.0,1.0,66.64,69.21,66.29,68.69,2664053.0,HP
2018-02-05,69.17,70.65,68.15,68.29,2429775.0,0.0,1.0,69.17,70.65,68.15,68.29,2429775.0,HP
2018-02-02,72.32,72.43,70.03,70.11,1593270.0,0.0,1.0,72.32,72.43,70.03,70.11,1593270.0,HP
2018-02-01,72.4,73.63,71.96,72.95,1458413.0,0.0,1.0,72.4,73.63,71.96,72.95,1458413.0,HP
2018-01-31,72.79,73.45,71.59,72.03,1620391.0,0.0,1.0,72.79,73.45,71.59,72.03,1620391.0,HP
2018-01-30,73.61,73.92,71.6,72.71,2175190.0,0.0,1.0,73.61,73.92,71.6,72.71,2175190.0,HP
2018-01-29,73.43,75.02,72.47,74.33,2471657.0,0.0,1.0,73.43,75.02,72.47,74.33,2471657.0,HP
2018-01-26,74.25,74.43,72.73,74.09,1600830.0,0.0,1.0,74.25,74.43,72.73,74.09,1600830.0,HP
2018-01-25,72.63,74.12,71.02,73.69,3512232.0,0.0,1.0,72.63,74.12,71.02,73.69,3512232.0,HP
2018-01-24,71.88,72.29,69.39,71.38,2710665.0,0.0,1.0,71.88,72.29,69.39,71.38,2710665.0,HP
2018-01-23,71.1,72.07,70.45,71.57,1585694.0,0.0,1.0,71.1,72.07,70.45,71.57,1585694.0,HP
2018-01-22,71.13,71.34,70.38,71.12,1856914.0,0.0,1.0,71.13,71.34,70.38,71.12,1856914.0,HP
2018-01-19,69.29,71.35,67.94,71.13,1488596.0,0.0,1.0,69.29,71.35,67.94,71.13,1488596.0,HP
2018-01-18,70.69,71.14,70.02,70.03,1575229.0,0.0,1.0,70.69,71.14,70.02,70.03,1575229.0,HP
2018-01-17,70.0,71.64,69.86,70.63,2156795.0,0.0,1.0,70.0,71.64,69.86,70.63,2156795.0,HP
2018-01-16,70.54,71.29,69.64,69.73,1848758.0,0.0,1.0,70.54,71.29,69.64,69.73,1848758.0,HP
2018-01-12,69.32,70.37,69.1,70.26,1962195.0,0.0,1.0,69.32,70.37,69.1,70.26,1962195.0,HP
2018-01-11,68.58,71.05,68.39,70.04,2470290.0,0.0,1.0,68.58,71.05,68.39,70.04,2470290.0,HP
2018-01-10,68.25,69.0,67.96,68.27,1759813.0,0.0,1.0,68.25,69.0,67.96,68.27,1759813.0,HP
2018-01-09,68.87,69.43,68.16,68.21,2389079.0,0.0,1.0,68.87,69.43,68.16,68.21,2389079.0,HP
2018-01-08,66.56,68.73,66.5,68.57,1616028.0,0.0,1.0,66.56,68.73,66.5,68.57,1616028.0,HP
2018-01-05,66.34,67.29,66.01,66.7,1728028.0,0.0,1.0,66.34,67.29,66.01,66.7,1728028.0,HP
2018-01-04,66.12,66.94,65.52,66.4,2204829.0,0.0,1.0,66.12,66.94,65.52,66.4,2204829.0,HP
2018-01-03,65.65,66.44,65.19,65.65,2462946.0,0.0,1.0,65.65,66.44,65.19,65.65,2462946.0,HP
2018-01-02,65.17,66.08,64.45,65.35,1370020.0,0.0,1.0,65.17,66.08,64.45,65.35,1370020.0,HP
2017-12-29,65.03,65.07,63.83,64.64,950570.0,0.0,1.0,65.03,65.07,63.83,64.64,950570.0,HP
2017-12-28,65.15,65.4,64.52,64.82,661519.0,0.0,1.0,65.15,65.4,64.52,64.82,661519.0,HP
