Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Name
2018-03-27,153.95,154.8697,151.16,151.91,3810994.0,0.0,1.0,153.95,154.8697,151.16,151.91,3810994.0,IBM
2018-03-26,151.21,153.657,150.28,153.37,4038586.0,0.0,1.0,151.21,153.657,150.28,153.37,4038586.0,IBM
2018-03-23,152.25,152.58,148.541,148.89,4389015.0,0.0,1.0,152.25,152.58,148.541,148.89,4389015.0,IBM
2018-03-22,155.0,155.2499,152.0,152.09,4617371.0,0.0,1.0,155.0,155.2499,152.0,152.09,4617371.0,IBM
2018-03-21,156.57,158.2,155.92,156.69,3240695.0,0.0,1.0,156.57,158.2,155.92,156.69,3240695.0,IBM
2018-03-20,157.52,157.93,155.29,156.2,4296935.0,0.0,1.0,157.52,157.93,155.29,156.2,4296935.0,IBM
2018-03-19,159.71,159.8899,156.45,157.35,5415258.0,0.0,1.0,159.71,159.8899,156.45,157.35,5415258.0,IBM
2018-03-16,160.06,161.98,159.64,160.26,8447294.0,0.0,1.0,160.06,161.98,159.64,160.26,8447294.0,IBM
2018-03-15,158.71,161.25,158.52,159.61,3860479.0,0.0,1.0,158.71,161.25,158.52,159.61,3860479.0,IBM
2018-03-14,160.17,160.68,157.74,158.12,3614293.0,0.0,1.0,160.17,160.68,157.74,158.12,3614293.0,IBM
2018-03-13,160.09,162.1122,158.81,159.32,4097662.0,0.0,1.0,160.09,162.1122,158.81,159.32,4097662.0,IBM
2018-03-12,159.64,161.02,158.87,160.26,5056489.0,0.0,1.0,159.64,161.02,158.87,160.26,5056489.0,IBM
2018-03-09,157.47,159.5825,157.3,159.31,4783247.0,0.0,1.0,157.47,159.5825,157.3,159.31,4783247.0,IBM
2018-03-08,159.0,159.57,155.07,156.21,6095521.0,0.0,1.0,159.0,159.57,155.07,156.21,6095521.0,IBM
2018-03-07,155.0,158.83,154.73,158.32,4607677.0,0.0,1.0,155.0,158.83,154.73,158.32,4607677.0,IBM
2018-03-06,157.28,157.89,155.1568,155.72,3594049.0,0.0,1.0,157.28,157.89,155.1568,155.72,3594049.0,IBM
2018-03-05,154.12,157.49,153.75,156.95,3670630.0,0.0,1.0,154.12,157.49,153.75,156.95,3670630.0,IBM
2018-03-02,152.79,154.76,151.88,154.49,3261141.0,0.0,1.0,152.79,154.76,151.88,154.49,3261141.0,IBM
2018-03-01,155.53,156.9742,152.79,153.81,4039339.0,0.0,1.0,155.53,156.9742,152.79,153.81,4039339.0,IBM
2018-02-28,157.5,158.1399,155.8,155.83,3761597.0,0.0,1.0,157.5,158.1399,155.8,155.83,3761597.0,IBM
2018-02-27,158.46,159.78,156.53,156.55,4192962.0,0.0,1.0,158.46,159.78,156.53,156.55,4192962.0,IBM
2018-02-26,155.81,158.88,155.51,158.58,3576723.0,0.0,1.0,155.81,158.88,155.51,158.58,3576723.0,IBM
2018-02-23,154.3,155.855,154.07,155.52,3208908.0,0.0,1.0,154.3,155.855,154.07,155.52,3208908.0,IBM
2018-02-22,154.5,155.04,152.79,153.18,4017699.0,0.0,1.0,154.5,155.04,152.79,153.18,4017699.0,IBM
2018-02-21,155.43,156.79,153.9,153.96,3492694.0,0.0,1.0,155.43,156.79,153.9,153.96,3492694.0,IBM
2018-02-20,155.79,155.96,153.87,155.16,4267801.0,0.0,1.0,155.79,155.96,153.87,155.16,4267801.0,IBM
2018-02-16,155.71,157.7905,155.69,156.18,4239560.0,0.0,1.0,155.71,157.7905,155.69,156.18,4239560.0,IBM
2018-02-15,155.5,156.86,153.7,156.01,5525079.0,0.0,1.0,155.5,156.86,153.7,156.01,5525079.0,IBM
2018-02-14,150.19,155.0,150.0,154.76,5422862.0,0.0,1.0,150.19,155.0,150.0,154.76,5422862.0,IBM
2018-02-13,150.9,151.179,149.64,150.75,4854790.0,0.0,1.0,150.9,151.179,149.64,150.75,4854790.0,IBM
2018-02-12,150.9,152.4,150.3,151.4,5659623.0,0.0,1.0,150.9,152.4,150.3,151.4,5659623.0,IBM
2018-02-09,148.6,150.54,144.3955,149.51,7763603.0,0.0,1.0,148.6,150.54,144.3955,149.51,7763603.0,IBM
2018-02-08,152.48,153.16,147.5,147.59,6599136.0,0.0,1.0,152.48,153.16,147.5,147.59,6599136.0,IBM
2018-02-07,154.17,155.34,153.28,153.85,6069258.0,0.0,1.0,154.17,155.34,153.28,153.85,6069258.0,IBM
2018-02-06,150.29,155.49,149.11,155.34,9823824.0,0.0,1.0,150.29,155.49,149.11,155.34,9823824.0,IBM
2018-02-05,157.89,158.5,150.0,152.53,8600416.0,0.0,1.0,157.89,158.5,150.0,152.53,8600416.0,IBM
2018-02-02,161.7,162.0,158.8663,159.03,5174779.0,0.0,1.0,161.7,162.0,158.8663,159.03,5174779.0,IBM
2018-02-01,163.19,164.13,161.9,162.4,4422505.0,0.0,1.0,163.19,164.13,161.9,162.4,4422505.0,IBM
2018-01-31,163.75,164.99,162.761,163.7,4025105.0,0.0,1.0,163.75,164.99,162.761,163.7,4025105.0,IBM
2018-01-30,166.21,166.77,163.155,163.62,4796200.0,0.0,1.0,166.21,166.77,163.155,163.62,4796200.0,IBM
2018-01-29,167.45,168.39,166.01,166.8,3423903.0,0.0,1.0,167.45,168.39,166.01,166.8,3423903.0,IBM
2018-01-26,166.12,167.4142,165.79,167.34,3664496.0,0.0,1.0,166.12,167.4142,165.79,167.34,3664496.0,IBM
2018-01-25,165.91,166.78,165.19,165.47,3240177.0,0.0,1.0,165.91,166.78,165.19,165.47,3240177.0,IBM
2018-01-24,166.75,168.72,164.82,165.37,5507664.0,0.0,1.0,166.75,168.72,164.82,165.37,5507664.0,IBM
2018-01-23,162.82,166.26,162.51,166.25,7417268.0,0.0,1.0,162.82,166.26,162.51,166.25,7417268.0,IBM
2018-01-22,161.51,163.98,161.11,162.6,8340507.0,0.0,1.0,161.51,163.98,161.11,162.6,8340507.0,IBM
2018-01-19,164.46,165.4,161.3,162.37,21079530.0,0.0,1.0,164.46,165.4,161.3,162.37,21079530.0,IBM
2018-01-18,170.0,171.13,168.15,169.12,10948033.0,0.0,1.0,170.0,171.13,168.15,169.12,10948033.0,IBM
2018-01-17,168.01,169.1253,167.26,168.65,11630539.0,0.0,1.0,168.01,169.1253,167.26,168.65,11630539.0,IBM
2018-01-16,165.1,165.29,163.35,163.85,7588202.0,0.0,1.0,165.1,165.29,163.35,163.85,7588202.0,IBM
2018-01-12,164.02,164.74,163.03,163.14,5007254.0,0.0,1.0,164.02,164.74,163.03,163.14,5007254.0,IBM
2018-01-11,164.8,164.94,163.3,164.2,3783614.0,0.0,1.0,164.8,164.94,163.3,164.2,3783614.0,IBM
2018-01-10,162.91,164.33,162.5,164.18,4150836.0,0.0,1.0,162.91,164.33,162.5,164.18,4150836.0,IBM
2018-01-09,163.9,164.53,163.06,163.83,4333418.0,0.0,1.0,163.9,164.53,163.06,163.83,4333418.0,IBM
2018-01-08,162.66,163.905,161.701,163.47,5101023.0,0.0,1.0,162.66,163.905,161.701,163.47,5101023.0,IBM
2018-01-05,162.44,162.9,161.101,162.49,5162075.0,0.0,1.0,162.44,162.9,161.101,162.49,5162075.0,IBM
2018-01-04,159.65,162.3237,159.37,161.7,7363843.0,0.0,1.0,159.65,162.3237,159.37,161.7,7363843.0,IBM
2018-01-03,157.34,159.81,156.33,158.49,9439063.0,0.0,1.0,157.34,159.81,156.33,158.49,9439063.0,IBM
2018-01-02,154.5,154.81,153.54,154.25,4195225.0,0.0,1.0,154.5,154.81,153.54,154.25,4195225.0,IBM
2017-12-29,154.17,154.72,153.415,153.42,3310894.0,0.0,1.0,154.17,154.72,153.415,153.42,3310894.0,IBM
2017-12-28,153.2,154.12,153.2,154.04,2669076.0,0.0,1.0,153.2,154.12,153.2,154.04,2669076.0,IBM
2017-12-27,152.95,153.18,152.61,153.13,2116522.0,0.0,1.0,152.95,153.18,152.61,153.13,2116522.0,IBM
2017-12-26,152.51,153.86,152.5,152.83,2477240.0,0.0,1.0,152.51,153.86,152.5,152.83,2477240.0,IBM
2017-12-22,151.71,153.0,151.5,152.5,2982114.0,0.0,1.0,151.71,153.0,151.5,152.5,2982114.0,IBM
2017-12-21,153.17,153.46,151.49,151.5,4126632.0,0.0,1.0,153.17,153.46,151.49,151.5,4126632.0,IBM
2017-12-20,153.65,153.89,152.78,152.95,3771425.0,0.0,1.0,153.65,153.89,152.78,152.95,3771425.0,IBM
2017-12-19,154.135,154.17,153.09,153.23,4111495.0,0.0,1.0,154.135,154.17,153.09,153.23,4111495.0,IBM
2017-12-18,153.41,154.18,153.21,153.33,5054265.0,0.0,1.0,153.41,154.18,153.21,153.33,5054265.0,IBM
2017-12-15,153.75,153.8,152.03,152.5,10469312.0,0.0,1.0,153.75,153.8,152.03,152.5,10469312.0,IBM
2017-12-14,154.5,155.11,153.7,154.0,4623845.0,0.0,1.0,154.5,155.11,153.7,154.0,4623845.0,IBM
2017-12-13,156.6,156.73,153.89,153.91,5624428.0,0.0,1.0,156.6,156.73,153.89,153.91,5624428.0,IBM
2017-12-12,155.2,157.85,155.16,156.74,6314835.0,0.0,1.0,155.2,157.85,155.16,156.74,6314835.0,IBM
2017-12-11,154.97,155.89,154.57,155.41,4068982.0,0.0,1.0,154.97,155.89,154.57,155.41,4068982.0,IBM
2017-12-08,153.94,155.03,153.55,154.81,3440847.0,0.0,1.0,153.94,155.03,153.55,154.81,3440847.0,IBM
2017-12-07,154.03,154.45,153.26,153.57,3768443.0,0.0,1.0,154.03,154.45,153.26,153.57,3768443.0,IBM
2017-12-06,155.69,156.22,154.09,154.1,3345712.0,0.0,1.0,155.69,156.22,154.09,154.1,3345712.0,IBM
2017-12-05,156.45,156.74,154.68,155.35,5042724.0,0.0,1.0,156.45,156.74,154.68,155.35,5042724.0,IBM
2017-12-04,155.67,156.8,155.07,156.46,4639109.0,0.0,1.0,155.67,156.8,155.07,156.46,4639109.0,IBM
2017-12-01,154.4,155.02,152.9125,154.76,5526823.0,0.0,1.0,154.4,155.02,152.9125,154.76,5526823.0,IBM
2017-11-30,153.65,154.41,153.08,153.97,6254399.0,0.0,1.0,153.65,154.41,153.08,153.97,6254399.0,IBM
2017-11-29,152.81,153.61,152.17,153.55,4946634.0,0.0,1.0,152.81,153.61,152.17,153.55,4946634.0,IBM
2017-11-28,152.35,152.93,151.7,152.47,3915618.0,0.0,1.0,152.35,152.93,151.7,152.47,3915618.0,IBM
2017-11-27,152.06,152.49,151.62,151.98,3303663.0,0.0,1.0,152.06,152.49,151.62,151.98,3303663.0,IBM
2017-11-24,151.95,152.2,151.33,151.84,1193025.0,0.0,1.0,151.95,152.2,151.33,151.84,1193025.0,IBM
2017-11-22,152.0,152.39,151.33,151.77,3125416.0,0.0,1.0,152.0,152.39,151.33,151.77,3125416.0,IBM
2017-11-21,151.3,152.45,151.2,151.95,3663246.0,0.0,1.0,151.3,152.45,151.2,151.95,3663246.0,IBM
2017-11-20,150.64,151.95,149.9,150.51,5654091.0,0.0,1.0,150.64,151.95,149.9,150.51,5654091.0,IBM
